time,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
184,1,FOLLOW,21.619358124953116,113.30868029731872,16075.982871167136,220.0,310.0,389.7632687193115,0.6252904838324743,-2694.681327373723,50932.121707463004,67.87829253702238,0.0,16201.416840492993,0.0,59359.09294008988,0.8347302175344438,12565.484086077164,7,1,2
185,0,HEAD,21.675512732175964,113.7163604413399,25320.187495617687,150.0,278.50961826153537,404.01774162241855,0.6719151601600988,3457.096655204223,50833.40645243066,166.59354756928423,0.0,25192.625713997975,0.0,48772.439569348826,1.063975411184022,88352.7675913957,5,2,1
185,1,FOLLOW,21.61797673973442,113.3075211774912,16031.095505145277,220.0,310.0,389.50639211445866,0.6247696147983172,-2693.241961311587,50932.12156981315,67.8784301868776,0.0,16156.463832561923,0.0,59367.091750965286,0.83493532894765,12579.109446354294,7,1,2
186,0,HEAD,21.67389326114293,113.71729544337677,25377.69475529843,150.0,278.1734828030347,403.92087992654007,0.6719151601600988,3450.4355808446107,50832.348223517976,167.6517764819649,0.0,25250.37821147212,0.0,48677.6024563197,1.063975411184022,88190.33054467085,5,2,1
186,1,FOLLOW,21.616596264290155,113.30636282105506,15986.232123638589,220.0,310.0,389.24986486087016,0.6242495639769253,-2691.8028904012504,50932.12143209066,67.87856790936887,0.0,16111.534818163807,0.0,59375.07301921554,0.8351401217191131,12592.725794073573,7,1,2
187,0,HEAD,21.672274177809545,113.71823022157514,25435.09083109358,150.0,277.8382048500493,403.82418169586765,0.6719151601600988,3443.7645477091046,50831.29201096751,168.70798903242817,0.0,25308.019896530077,0.0,48583.2102406486,1.063975411184022,88028.18067752864,5,2,1
187,1,FOLLOW,21.615216697383207,113.30520522697225,15941.392721661528,220.0,310.0,388.99368643393365,0.6237303298581466,-2690.3641186236387,50932.12129429557,67.87870570445737,0.0,16066.629792512864,0.0,59383.03678738065,0.8353445962138035,12606.33313350722,7,1,2
188,0,HEAD,21.670655481518825,113.71916477631433,25492.375560137727,150.0,277.50378423881085,403.7276473270522,0.6719151601600988,3437.0837426486955,50830.237810946484,169.76218905345587,0.0,25365.550599399794,0.0,48489.26147460328,1.063975411184022,87866.31860736795,5,2,1
188,1,FOLLOW,21.61383803777832,113.30404839420626,15896.577294162502,220.0,310.0,388.73785630940074,0.6232119109341334,-2688.9256499415524,50932.12115642792,67.8788435721043,0.0,16021.748750756486,0.0,59390.983097911776,0.8355487527974856,12619.931468945337,7,1,2
189,0,HEAD,21.669037171612217,113.72009910797455,25549.548782665388,150.0,277.1702207861094,403.6312772116846,0.6719151601600988,3430.393351659585,50829.18561961588,170.81438038406407,0.0,25422.9701534412,0.0,48395.75470853459,1.063975411184022,87704.74494281158,5,2,1
