timestep,timestamp,id,callsign,lat,long,alt,cas,tas,mach,vs,heading,bank_angle,mass,fuel_consumed,thrust,drag,esf,accel,ap_track_angle,ap_heading,ap_nav_index,ap_dist_to_next_fix,trans_alt,flight_phase,configuration,speed_mode,vertical_mode,ap_speed_mode,ap_lateral_mode
809,2022-04-21T09:28:59,0,FULL,21.763460493563464,113.9945083059949,24272.917228490285,119.78805769543168,181.82446928846988,0.2906413378883677,849.4616016147136,102.523041227181,-15.0,62295.185866921616,977.8141330783608,84457.47685984476,54519.12781197508,1.0105910088448478,0.0,82.20002322811132,82.20002322811132,3,28.833892924525557,24244.56253725615,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
810,2022-04-21T09:29:00,0,FULL,21.763295126064797,113.995439192157,24287.034449970837,119.75158243511396,181.82446928846988,0.2906413378883677,847.0332888328699,100.91348945483578,-15.0,62294.32876530901,978.6712346909704,84396.86621331796,54540.98647025626,1.0105897584084584,0.0,82.13309283677779,82.13309283677779,3,28.74200653888718,24258.76082707949,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
811,2022-04-21T09:29:01,0,FULL,21.76315303797608,113.99637422866638,24301.111323883702,119.71521808280262,181.82446928846988,0.2906413378883677,844.6124347722721,99.30393768249056,-15.0,62293.47227727976,979.527722720214,84336.44804061684,54562.80155968668,1.0105885115497095,0.0,82.07069650484766,82.07069650484766,3,28.64931321371321,24272.918520282237,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
812,2022-04-21T09:29:02,0,FULL,21.763034336688484,113.99731276000682,24315.14797411378,119.67896426108472,181.82446928846988,0.2906413378883677,842.199013804508,97.69438591014531,-15.0,62292.61640088626,980.383599113717,84276.2216462021,54584.57310494393,1.010587268257595,0.0,82.01291930212864,82.01291930212864,3,28.55586993091344,24287.035741605825,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
813,2022-04-21T09:29:03,0,FULL,21.76293911113845,113.99825412790432,24329.14452412056,119.64282059405458,181.82446928846988,0.2906413378883677,839.7930004069516,96.0848341378001,-15.0,62291.76113418791,981.238865812071,84216.18633748525,54606.30113110935,1.0105860285211463,0.0,81.95984468128705,81.95984468128705,3,28.461734760024868,24301.11261536263,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
814,2022-04-21T09:29:04,0,FULL,21.762867431737572,113.9991976718466,24343.10109693993,119.60678670729516,181.82446928846983,0.2906413378883677,837.3943691621996,94.47528236545487,-15.0,62290.90647525112,982.093524748864,84156.34142481335,54627.98566366488,1.0105847923294342,0.0,81.91155434908347,81.91155434908347,3,28.36696684057569,24315.1492654363,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
815,2022-04-21T09:29:05,0,FULL,21.762819350316985,114.00014272960412,24357.017815185893,119.57086222787358,181.82446928846988,0.2906413378883677,835.0030947575484,92.86573059310965,-15.0,62290.05242214928,982.9475778507098,84096.68622145442,54649.62672848926,1.0105835596715655,0.0,81.86812813144314,81.86812813144314,3,28.27162636271831,24329.14581528761,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
816,2022-04-21T09:29:06,0,FULL,21.762793480945376,114.0010893310256,24371.005686873166,119.58484705509731,181.7497049516299,0.2906413378883677,839.272301236381,91.25551671751148,-15.0,62289.19720814123,983.8027918587547,84216.14497040541,54640.09206146289,1.0105911308247382,0.0,81.82964383225641,81.82964383225641,3,28.175774546066368,24343.10238795236,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
817,2022-04-21T09:29:07,0,FULL,21.762791257328704,114.00203611833336,24384.933095195756,119.49905471294832,181.7497049516299,0.2906413378883677,835.6444993552805,89.64530284191332,-15.0,62288.34260169445,984.6573983055343,84156.31612391226,54692.95839060903,1.010589894370405,0.0,81.79583780242166,81.79583780242166,3,28.07942527314217,24337.66901753781,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
818,2022-04-21T09:29:08,0,FULL,21.762812675353143,114.0029824270122,24398.82069209263,119.46322468293172,181.7497049516299,0.2906413378883677,833.2558138127552,88.03508896631516,-15.0,62287.48859999266,985.5114000073183,84096.7646061321,54714.61504969447,1.0105886632637218,0.0,81.76712020397241,81.76712020397241,3,27.982690302444038,24371.006977575493,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
