timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
852,2022-03-22T09:26:19,0,HEAD,22.484656305738756,113.85052689607974,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67380.08657426362,619.9134257364316,0.0,30000.001264552626,0.0,47081.62329867922,0.8166428710826028,47081.62329867922,6.0,1,2
853,2022-03-22T09:26:20,0,HEAD,22.48647839717299,113.85032524717305,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67379.55127374598,620.4487262540789,0.0,30000.001264552626,0.0,47081.430304350295,0.8166428710826028,47081.430304350295,6.0,1,2
854,2022-03-22T09:26:21,0,HEAD,22.48830048860723,113.85012359826636,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67379.01597542259,620.9840245774701,0.0,30000.001264552626,0.0,47081.23731234572,0.8166428710826028,47081.23731234572,6.0,1,2
855,2022-03-22T09:26:22,0,HEAD,22.49012258004147,113.84992194935964,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67378.48067929343,621.5193207066316,0.0,30000.001264552626,0.0,47081.04432266544,0.8166428710826028,47081.04432266544,6.0,1,2
856,2022-03-22T09:26:23,0,HEAD,22.491944671475707,113.84972030045296,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67377.94538535847,622.0546146415896,0.0,30000.001264552626,0.0,47080.85133530947,0.8166428710826028,47080.85133530947,6.0,1,2
857,2022-03-22T09:26:24,0,HEAD,22.493766762909942,113.84951865154626,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67377.41009361768,622.5899063823708,0.0,30000.001264552626,0.0,47080.65835027774,0.8166428710826028,47080.65835027774,6.0,1,2
858,2022-03-22T09:26:25,0,HEAD,22.495588854344184,113.84931700263957,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67376.87480407105,623.1251959290015,0.0,30000.001264552626,0.0,47080.46536757024,0.8166428710826028,47080.46536757024,6.0,1,2
859,2022-03-22T09:26:26,0,HEAD,22.497410945778423,113.84911535373288,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67376.33951671854,623.6604832815082,0.0,30000.001264552626,0.0,47080.27238718697,0.8166428710826028,47080.27238718697,6.0,1,2
860,2022-03-22T09:26:27,0,HEAD,22.49923303721266,113.84891370482616,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67375.80423156013,624.1957684399172,0.0,30000.001264552626,0.0,47080.07940912784,0.8166428710826028,47080.07940912784,6.0,1,2
861,2022-03-22T09:26:28,0,HEAD,22.5010551286469,113.84871205591948,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67375.2689485958,624.7310514042549,0.0,30000.001264552626,0.0,47079.88643339287,0.8166428710826028,47079.88643339287,6.0,1,2
